booth_code,x,y
3C-D36,963,155
3C-D34,962,166
3C-D32,965,176
3C-D28,965,201
3C-D24,968,217
3C-D20,963,248
3C-D16,962,270
3C-D12,963,298
3C-D10A,962,308
3C-D10,962,317
3C-D08,963,328
3C-D06,962,339
3C-D39,945,123
3C-D33,945,155
3C-D19,945,248
3C-D17,944,266
3C-D09,946,308
3C-D07A,947,319
3C-D05,945,335
3C-C02,940,357
3C-C42,935,117
3C-C40,935,135
3C-C38,934,146
3C-C36,935,157
3C-C34,934,168
3C-C32,937,179
3C-C30,938,190
3C-C28,936,201
3C-C24,941,219
3C-C20,936,248
3C-C18,935,267
3C-C16,936,277
3C-C14,936,288
3C-C12,937,297
3C-C10A,936,308
3C-C08,935,323
3C-C06,936,338
3C-C41,918,117
3C-C39,918,134
3C-C37,919,146
3C-C35,919,155
3C-C31,919,173
3C-C27,919,197
3C-C23,917,218
3C-C19,917,250
3C-C15,918,271
3C-C13,917,287
3C-C11A,918,297
3C-C07,918,316
3C-C05,919,341
3C-B02,913,357
3C-B44,909,112
3C-B42,908,123
3C-B40,909,132
3C-B38,908,143
3C-B36,910,155
3C-B34,908,166
3C-B32,909,178
3C-B28,909,197
3C-B24,908,216
3C-B20,909,250
3C-B16,908,271
3C-B14,908,288
3C-B12A,908,297
3C-B08,907,318
3C-B06,909,341
3C-B43,890,112
3C-B41,891,124
3C-B39,891,135
3C-B37,892,144
3C-B35,891,155
3C-B33,891,166
3C-B31,891,179
3C-B29,891,189
3C-B27,890,201
3C-B23,890,217
3C-B17,892,255
3C-B15,891,278
3C-B13,891,288
3C-B11,890,297
3C-B09,890,310
3C-B07A,890,320
3C-B07,890,329
3C-A02,886,352
3C-A44,881,110
3C-A42,879,122
3C-A40,881,135
3C-A38,881,145
3C-A36,881,155
3C-A34,881,167
3C-A24,881,219
3C-A20,883,248
3C-A18,882,266
3C-A10,880,310
3C-A08A,880,319
3C-A08,880,328
3C-A43,865,112
3C-A41,865,123
3C-A39,864,135
3C-A37,864,144
3C-A35,865,155
3C-A33,864,168
3C-A31,865,178
3C-A27,864,201
3C-A25,865,213
3C-A23,865,223
3C-A19,865,250
3C-A15,865,272
3C-A11,864,297
3C-A09A,863,308
3C-A09,865,319
3C-A07,864,328
3C-A01,864,352
3B-E44,855,112
3B-E42,855,124
3B-E40,853,135
3B-E38,854,145
3B-E32,854,166
3B-E28,853,201
3B-E24,855,217
3B-E20,856,250
3B-E18,854,266
3B-E16,853,277
3B-E10,854,304
3B-E10A,853,319
3B-E08,853,329
3B-E02,855,352
3B-E41,837,116
3B-E39,838,135
3B-E37,837,145
3B-E35,836,157
3B-E33,836,168
3B-E31,835,177
3B-E29,835,187
3B-E27,836,198
3B-E17,837,264
3B-E15,836,277
3B-E13A,836,286
