booth_code,x,y
5C-E14,429,306
5C-E11,406,330
5C-E10,429,342
5C-E09,404,343
5C-E07,405,354
5C-E06,426,362
5C-E05,405,370
5C-E04,425,381
5C-E03,403,382
5C-E02,425,395
5C-E01,404,395
5C-D01,370,396
5C-D02,390,391
5C-D03,367,382
5C-D05,368,368
5C-D06,390,367
5C-D07,369,354
5C-D08,392,355
5C-D09,368,342
5C-D10,391,341
5C-D11,368,328
5C-D12,391,327
5C-D13,369,310
5C-D14,390,310
5C-D16,391,298
5C-D15,368,299
5C-D18,389,287
5C-D17,369,286
5C-D19,368,269
5C-D20,388,262
5C-D21,368,257
5C-D26,390,230
5C-D25,368,229
5C-D27,371,216
5C-D28,392,216
5C-D29,371,203
5C-D30,390,201
5C-D31,372,188
5C-D35,391,187
ES COUNTER,360,145
5C-C33,334,186
5C-C30,356,202
5C-C29,335,202
SEATING AREA,318,209
5C-C28,358,216
5C-C26,355,231
5C-C25,333,226
5C-C22,353,259
5C-C21,332,258
5C-C20,355,271
5C-C19,333,272
5C-C18,355,285
5C-C17,334,284
5C-C16,357,299
5C-C15,331,298
5C-C14,357,312
5C-C13,334,314
5C-C12,356,328
5C-C11,329,326
5C-C10,354,340
5C-C09,334,340
5C-C08,355,356
5C-C07,333,357
5C-C06,355,369
5C-C05,331,370
5C-C04,357,383
5C-C02,355,395
5C-C01,335,388
5C-B36,319,185
5C-B29,295,200
5C-B26,317,232
5C-B25,300,223
5C-B22,318,257
5C-B21,296,257
5C-B20,319,273
5C-B19,295,271
5C-B18,319,285
5C-B17,296,284
5C-B15,297,300
5C-B16,319,299
5C-B14,319,313
5C-B13,295,313
5C-B12,319,328
5C-B11,296,328
5C-B10,320,341
5C-B09,295,340
5C-B08,321,353
5C-B07,296,355
5C-B06,318,366
5C-B05,295,369
5C-B02,318,392
5C-B03,297,384
5C-B01,294,395
5C-A02,281,388
5C-A01,259,387
5C-A06,285,369
5C-A05,260,368
5C-A08,281,353
5C-A07,260,353
5C-A09,260,341
5C-A10,283,343
5C-A11,260,327
5C-A12,284,327
5C-A13,257,312
5C-A14,280,311
5C-A15,259,297
5C-A16,284,298
5C-A17,259,284
5C-A18,285,285
5C-A19,261,272
5C-A20,283,271
5C-A21,262,256
5C-A22,284,257
5C-A25,261,232
5C-A26,284,223
5C-A27,259,215
5C-A29,260,200
5C-A30,285,201
5C-A31,258,188
5C-A32,281,186
5C-A36,281,159
5B-F36,245,159
5B-F32,245,188
SEATING AREA,247,206
5B-F29,223,193
5B-F27,224,215
5B-F26,244,232
5B-F25,223,231
5B-F22,247,257
5B-F20,245,271
5B-F19,222,262
5B-F18,246,282
5B-F17,223,287
5B-F16,247,298
5B-F15,224,297
5B-F14,244,311
5B-F13,222,309
5B-F11,227,328
5B-F12,246,327
5B-F10,246,344
5B-F09,225,343
5B-F08,246,354
5B-F07,225,356
5B-F06,246,369
5B-F05,222,369
5B-F04,245,383
5B-F02,248,395
5B-E02,220,387
5B-E26,210,223
5B-E40,216,160
5B-E39,186,161
5B-E31,189,187
5B-E29,189,201
5B-E27,189,219
5B-E25,191,232
5B-E22,210,257
5B-E20,209,271
5B-E19,187,262
5B-E18,211,287
5B-E17,187,284
5B-E16,211,300
5B-E15,189,299
5B-E14,212,311
5B-E13,190,314
5B-E11,190,328
5B-E10,210,335
5B-E09,191,344
5B-E08,210,356
5B-E07,188,355
5B-E06,210,369
5B-E05,189,366
5B-E01,186,390
5B-D02,173,384
5B-D01,154,388
5B-D05,150,362
5B-D08,176,354
5B-D09,152,343
5B-D10,173,340
5B-D11,151,327
5B-D12,177,329
5B-D13,152,312
5B-D14,173,310
5B-D15,150,297
5B-D16,176,300
5B-D17,151,283
5B-D18,175,284
5B-D19,151,263
5B-D20,175,265
5B-D25,151,223
5B-D26,176,230
5B-D28,174,217
5B-D29,149,202
5B-D30,176,203
5B-D31,152,184
5B-D32,175,187
5B-D36,174,160
5B-C32,138,187
DIGITAL ENTERTAINMENT EXPERIENCE ZONE,110,221
5B-C22,136,258
5B-C21,115,257
5B-C20,140,271
5B-C19,114,271
5B-C18,138,284
5B-C17,115,284
5B-C16,138,298
5B-C15,115,300
5B-C14,139,313
5B-C12,139,327
5B-C11,111,325
5B-C10,139,342
5B-C09,118,337
5B-C05,113,365
5B-C01,116,388
5B-C02,138,397
5B-C04,139,384
5B-C06,136,370
5B-C08,139,354
5B-B36,109,161
5B-B33,79,173
5B-B31,77,190
SEATING AREA,48,254
5B-B22,101,258
5B-B21,81,255
5B-B20,101,270
5B-B19,78,271
5B-B16,103,292
5B-B15,80,292
5B-B10,100,340
5B-B09,81,339
5B-B08,102,357
5B-B07,79,354
5B-B05,81,370
5B-B06,98,370
5B-B04,102,382
5B-B02,103,397
5B-B01,79,388
5B-A01,43,397
5B-A02,65,397
5B-A03,39,381
5B-A04,66,384
5B-A05,45,369
5B-A06,64,363
5B-A07,44,354
5B-A09,45,341
5B-A10,67,340
5B-A11,44,327
5B-A12,66,326
5B-A13,44,314
5B-A15,43,299
5B-A20,68,291
5B-A21,45,284
5CON-001,156,524
5CON-002,172,523
5CON-003,184,523
5CON-004,199,524
5CON-009,267,519
5CON-010,283,521
5CON-011,296,518
5CON-012,307,514
5CON-013,323,514
5CON-014,336,513
5CON-015,349,513
5CON-S63,1019,252
5CON-S45,1019,263
5CON-S35,1018,272
5CON-S35,1018,280
5CON-S35,1017,292
1CON-S42,1029,262
9CON-S40,1028,273
7CON-S38,1027,282
5CON-S36,1031,292
5CON-S62,977,308
5CON-S61,969,317
5CON-S60,969,325
5CON-S59,970,335
5CON-S58,968,344
5CON-S57,977,353
5CON-S56,985,353
5CON-S26,1018,342
5CON-S28,1028,344
5CON-S30,1039,344
5CON-S32,1052,345
5CON-S34,1065,346
5CON-S25,1016,353
5CON-S27,1027,353
5CON-S29,1041,354
5CON-S31,1052,354
5CON-S33,1066,357
5CON-S54,977,388
5CON-S53,986,390
5CON-S18,1031,379
5CON-S16,1021,379
5CON-S20,1042,381
5CON-S22,1053,381
