NAME_KR,NAME_EN,DESCRIPTION_KR,DESCRIPTION_EN,KEYWORDS_KR,KEYWORDS_EN,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_KR,INDUSTRY_NAME_EN
Kai Hua Long Ding Green Tea,Kai Hua Long Ding Green Tea,"This tea consists of one bud and one leaf picked before Guyu (Grain Rain solar term).; Dry leaves: Slightly curled, moderately green and lustrous, moderately uniform, moderately clean.; Liquor: Yellow-green and bright.; Aroma: Fresh and clean, moderately invigorating.; Taste: Fresh, mellow, and moderately brisk.; Wet leaves: Bright green, moderately even and intact.","This tea consists of one bud and one leaf picked before Guyu (Grain Rain solar term).; Dry leaves: Slightly curled, moderately green and lustrous, moderately uniform, moderately clean.; Liquor: Yellow-green and bright.; Aroma: Fresh and clean, moderately invigorating.; Taste: Fresh, mellow, and moderately brisk.; Wet leaves: Bright green, moderately even and intact.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Song2000,Kai Hua Long Ding Green Tea Song2000,"This tea is crafted from handpicked pre-Qingming tender buds. The dried leaves feature straight and upright buds with a lustrous green hue, appearing uniform and clean. The infusion yields a bright, pale green liquor with a fresh and delicate aroma. Its taste profile is refreshingly mellow, while the spent leaves reveal tender green buds that are vibrant, bright, and neatly aligned.","This tea is crafted from handpicked pre-Qingming tender buds. The dried leaves feature straight and upright buds with a lustrous green hue, appearing uniform and clean. The infusion yields a bright, pale green liquor with a fresh and delicate aroma. Its taste profile is refreshingly mellow, while the spent leaves reveal tender green buds that are vibrant, bright, and neatly aligned.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
Kai Hua Long Ding Green Tea Tang3000,Kai Hua Long Ding Green Tea Tang3000,"This tea is meticulously crafted from the first spring harvest before Qingming, featuring single buds with one leaf. The dry leaves are tightly straight, dark green, glossy, and uniformly clean. The liquor presents a pale green, crystal-clear hue with a fresh, tender, and invigorating aroma. Its taste profile offers a refreshing, mellow sweetness, while the infused leaves reveal jade-white veins against emerald-green leaves, appearing vibrant and evenly whole.","This tea is meticulously crafted from the first spring harvest before Qingming, featuring single buds with one leaf. The dry leaves are tightly straight, dark green, glossy, and uniformly clean. The liquor presents a pale green, crystal-clear hue with a fresh, tender, and invigorating aroma. Its taste profile offers a refreshing, mellow sweetness, while the infused leaves reveal jade-white veins against emerald-green leaves, appearing vibrant and evenly whole.",,,,"Zhejiang Longding Tea Group Co., Ltd.","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM","Black Tea,Green Tea; Kaihua Longding Tea Qian jiangyuan Open Door Black Tea; OBM"
K - Tea,K - Tea,K - Tea,K - Tea,,,,Association of Coffee and Tea of Hong Kong,"Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM","Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM"
Blended Loose Tea,Blended Loose Tea,Blended Loose Tea,Blended Loose Tea,,,,Association of Coffee and Tea of Hong Kong,"Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM","Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM"
Golden Pheonix Green Gold Black Tea,Golden Pheonix Green Gold Black Tea,Golden Pheonix Green Gold Black Tea,Golden Pheonix Green Gold Black Tea,,,,Association of Coffee and Tea of Hong Kong,"Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM","Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM"
Ceylon Black Tea,Ceylon Black Tea,Ceylon Black Tea,Ceylon Black Tea,,,,Association of Coffee and Tea of Hong Kong,"Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM","Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM"
Coffee Bean,Coffee Bean,Coffee Bean,Coffee Bean,,,,Association of Coffee and Tea of Hong Kong,"Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM","Black Tea,Milk Tea,Tea Education and Training Course,Tea Organisation; Association of Coffee and Tea of Hong Kong (ACTK) has held KamCha Competition since 2009. KamCha uses high-quality Ceylon black tea without any artificial essence, with authentic flavor and smooth tea fragrance.; OEM"
Instant Hibiscus Powder,Instant Hibiscus Powder,易晓速溶玫瑰茄粉是以优质玫瑰茄为原料，经精制加工，科学提取而成的紫红色粉末，其香味纯正、天然，滋味酸爽醇厚，富含维生素C、接骨木三糖苷等营养成份，可应用于饮料和其它保健食品领域。,易晓速溶玫瑰茄粉是以优质玫瑰茄为原料，经精制加工，科学提取而成的紫红色粉末，其香味纯正、天然，滋味酸爽醇厚，富含维生素C、接骨木三糖苷等营养成份，可应用于饮料和其它保健食品领域。,,,,Eastsign Foods (Quzhou) Co Ltd,"FD Tea, Tea Concentrate, Instant Tea Powder; OBM","FD Tea, Tea Concentrate, Instant Tea Powder; OBM"
茶·咖啡胶囊,茶·咖啡胶囊,快速冲饮   操作简单  卫生环保   口味多样; 方便快捷，开启懒人生活新体验,快速冲饮   操作简单  卫生环保   口味多样; 方便快捷，开启懒人生活新体验,,,,Eastsign Foods (Quzhou) Co Ltd,"FD Tea, Tea Concentrate, Instant Tea Powder; OBM","FD Tea, Tea Concentrate, Instant Tea Powder; OBM"
