No.,Exhibitor Name (KOR),Exhibitor Name (ENG),Country,Hall,Show Name,Exhibit Item (KOR),Exhibit Item (ENG),Category,DESCRIPTION,TEXT_FOR_KEYBERT,KEYWORDS
27,와이엠텍,"YM TECH CO., LTD",South Korea,C3.735,InterBattery Europe,EV 릴레이,EV Relay,,No specific product category available.,EV 릴레이 EV Relay,"ev, relay, 릴레이"
28,에버인더스,Everindus Inc.,South Korea,C3.554,InterBattery Europe,이차전지 소재,Secondary Battery Material,"Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","이차전지 소재 Secondary Battery Material Secondary Batteries, Materials & Components","batteries, battery, materials, secondary, 이차전지"
29,한국수출입은행,The Export-Import Bank of Korea,South Korea,C3.654,InterBattery Europe,금융상담 제공,Financial Consulting,,No specific product category available.,금융상담 제공 Financial Consulting,"consulting, 제공, 금융상담, financial"
30,옥스머티리얼즈,"OCSmaterials.Co.,Ltd.",South Korea,C3.658 ,InterBattery Europe,"실리콘 방열 제품-충진재(Encapsulants), 갭필러(Gap Filler),그리스(Gap Pad),갭패드(Gap Pad)","Thermal Interface Materials- Encapsulants, Gap Filler, Grease, Gap Pad","Materials & Components, Manufacturing Equipment","This company specializes in Materials & Components, Manufacturing Equipment.","실리콘 방열 제품-충진재(Encapsulants), 갭필러(Gap Filler),그리스(Gap Pad),갭패드(Gap Pad) Thermal Interface Materials- Encapsulants, Gap Filler, Grease, Gap Pad Materials & Components, Manufacturing Equipment","encapsulants, materials, pad, gap, 실리콘"
31,미르지엔아이,"MIR G&I Co., Ltd.",South Korea,C3.759 ,InterBattery Europe,"드라이룸, 공조설비","Dry room, HVAC system","Materials & Components, Manufacturing Equipment","This company specializes in Materials & Components, Manufacturing Equipment.","드라이룸, 공조설비 Dry room, HVAC system Materials & Components, Manufacturing Equipment","공조설비, hvac, materials, equipment, components"
32,코리아시뮬레이터,"KOREA SIMULATOR Co.,Ltd",South Korea,C3.656,InterBattery Europe,"양방향 충방전기(360kW, 150kW, 400kW), 베어링 전식 시험기, 모터다이나모 시험기, 모터 액추에이터 성능 시험기, 모터 액추에이터 복합환경 내구성 시험기","Bi-directional Charger/Discharger(360kW, 150kW, 400kW), Bearing Electric Corrosion Tester",Inspection & Measurement Equipment,This company specializes in Inspection & Measurement Equipment.,"양방향 충방전기(360kW, 150kW, 400kW), 베어링 전식 시험기, 모터다이나모 시험기, 모터 액추에이터 성능 시험기, 모터 액추에이터 복합환경 내구성 시험기 Bi-directional Charger/Discharger(360kW, 150kW, 400kW), Bearing Electric Corrosion Tester Inspection & Measurement Equipment","discharger, charger, 복합환경, tester, 충방전기"
33,고려기연,"KOREA KIYON CO.,LTD.",South Korea,C3.751 ,InterBattery Europe,증착기+글로브박스,Evaporation System with Glovebox,Manufacturing Equipment,This company specializes in Manufacturing Equipment.,증착기+글로브박스 Evaporation System with Glovebox Manufacturing Equipment,"evaporation, glovebox, 글로브박스, 증착기, equipment"
34,이온어스,AEONUS,South Korea,C3.739,InterBattery Europe,"인디고 스테이션, 인디고 차지, 모뱃","indego STATION, indego CHARGE, Mobatt",,No specific product category available.,"인디고 스테이션, 인디고 차지, 모뱃 indego STATION, indego CHARGE, Mobatt","인디고, station, indego, 스테이션, mobatt"
35,이투텍,"E2Technology Co.,LTD.",South Korea,C3.640 ,InterBattery Europe,,1. Secondary Battery Electrodes 2. Secondary Battery Cell 3. ESS 4. Power bank 5. Battery pack for Dron etc.,Secondary Batteries,This company specializes in Secondary Batteries.,1. Secondary Battery Electrodes 2. Secondary Battery Cell 3. ESS 4. Power bank 5. Battery pack for Dron etc. Secondary Batteries,"batteries, electrodes, battery, secondary, cell"
36,제이알에너지솔루션,JR ENERGY SOLUTION INC,South Korea,C3.640,InterBattery Europe,,"Electrode, Battery Cell",Secondary Batteries,This company specializes in Secondary Batteries.,"Electrode, Battery Cell Secondary Batteries","electrode, batteries, battery, cell, secondary"
37,와이케이신터링,YKS Intering,South Korea,C3.640,InterBattery Europe,,"Recycled battery raw materials, Cemented carbide jig","Secondary Batteries, Materials & Components","This company specializes in Secondary Batteries, Materials & Components.","Recycled battery raw materials, Cemented carbide jig Secondary Batteries, Materials & Components","recycled, materials, carbide, batteries, battery"
38,에이투비투,A2B2 Corporation,South Korea,C3.640,InterBattery Europe,,"Insulation/thermal adhesion film for secondary batteries (Cylindrical, Pouch type batteries). And lead tabs","Secondary Batteries, Materials & Components, Inspection & Measurement Equipment","This company specializes in Secondary Batteries, Materials & Components, Inspection & Measurement Equipment.","Insulation/thermal adhesion film for secondary batteries (Cylindrical, Pouch type batteries). And lead tabs Secondary Batteries, Materials & Components, Inspection & Measurement Equipment","insulation, batteries, adhesion, materials, thermal"
39,넥스포,NexPO,South Korea,C3.640,InterBattery Europe,,Lead tab,Materials & Components,This company specializes in Materials & Components.,Lead tab Materials & Components,"materials, lead, components, tab"
