No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
125,"Ningbo Deye Inverter Technology Co., Ltd ","Ningbo Deye Inverter Technology Co., Ltd",China ,B1.450 ,ees Europe ,,Inverters | Other battery technologies | Lithium-based batteries
126,Pylon Technologies Co. Ltd ,Pylon Technologies Co. Ltd,China ,B1.350 ,ees Europe ,,Lithium-based batteries
127,RUNHOOD POWER INC.,RUNHOOD POWER INC. ,United States,B1.220 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
128,SENEC GmbH,SENEC GmbH,Germany ,B1.310 ,ees Europe ,,Crystalline modules | Lithium-based batteries | Batterymanagement systems | Stationary energy storage for residentialbuildings | AC charging systems
129,"Shenzhen Infypower Co., Ltd ","Shenzhen Infypower Co., Ltd ",China,B1.580 ,ees Europe ,,Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications
130,"Sigenergy Technology Co., Ltd.","Sigenergy Technology Co., Ltd.",China,B1.480 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
131,"SolaX Power Network Technology(Zhejiang)Co.,Ltd. ","SolaX Power Network Technology(Zhejiang)Co.,Ltd. ",China,B1.250 ,ees Europe ,,Battery management systems | Stationary energy storage forcommercial and industrial applications
132,"Soluna (Shanghai) Co., Ltd ","Soluna (Shanghai) Co., Ltd ",China,B1.420 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
133,Stem,Stem ,Germany,B1.576 ,ees Europe ,,Monitoring and measuring technology | Battery managementsystems | Stationary energy storage for utilities and gridoperators | Stationary energy storage for commercial andindustrial applications
134,TESLA Group a.s. ,TESLA Group a.s.,Czech Republic ,B1.439 ,ees Europe ,,"Lithium-based batteries | EPC contracting/project developmentfor energy storage systems | Stationary energy storage forutilities and grid operators | ICT, software for energy storagesystems | Stationary energy storage for commercial andindustrial applications"
135,Turbo Energy S.A.,Turbo Energy S.A. ,Spain ,B1.430 ,ees Europe ,,"Other battery technologies | Stationary energy storage forresidential buildings | ICT, software for energy storage systems |Stationary energy storage for commercial and industrialapplications"
136,VARTA Storage GmbH,VARTA Storage GmbH ,Germany,B1.210 ,ees Europe ,,Lithium-based batteries
137,V-TAC EUROPE Ltd. ,V-TAC EUROPE Ltd.,Bulgaria,B1.171 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage forresidential buildings | ICT, software for energy storage systems |Stationary energy storage for commercial and industrialapplications"
138,WECO SRL a socio unico ,WECO SRL a socio unico,Italy ,B1.360 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications | AC charging systems | DC chargingsystems
139,A123 Systems GmbH ,A123 Systems GmbH ,Germany,B2.119 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
140,AB Volvo Penta ,AB Volvo Penta ,Sweden ,B2.160,ees Europe ,,"Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Energy management, monitoring, controlling andload management | EV system technology and components"
141,ACCURE Battery Intelligence GmbH ,ACCURE Battery Intelligence GmbH ,Germany ,B2.386 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | ICT, software for energy storage systems |Stationary energy storage for commercial and industrialapplications | Testing and safety"
142,Alfen B.V.,Alfen B.V.,France,B2.210 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications | AC charging systems | DC chargingsystems
143,Amphenol Communications Solutions ,Amphenol Communications Solutions,Netherlands ,B2.671 ,ees Europe ,,"Battery testing, inspection systems, safety | Power electronicsfor storage systems | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Stationaryenergy storage for commercial and industrial applications |Contacts, wiring, insulation for batteries"
144,Bergstrom Inc. ,Bergstrom Inc.,United States,B2.270,ees Europe ,,Cooling/temperature management of storage systems
145,"Changzhou Hongju Electric Technology Co., Ltd ","Changzhou Hongju Electric Technology Co., Ltd",China ,B2.578 ,ees Europe ,,"Cooling/temperature management of storage systems | Batterymanagement systems | Energy Storage for low-capacity mobileapplications (smartphones, laptops, tablets, etc.) | Contacts,wiring, insulation for batteries | Battery housing"
146,CMBlu Energy AG ,CMBlu Energy AG,Germany ,B2.354,ees Europe ,,Other battery technologies | Redox flow batteries | Batterymanagement systems
147,Cornex New Energy,Cornex New Energy,China ,B2.151,ees Europe ,,Lithium-based batteries | Cooling/temperature management ofstorage systems | Battery management systems | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for commercial and industrial applications
148,"CRRC Zhuzhou Institute Co., LTD ","CRRC Zhuzhou Institute Co., LTD ",China ,B2.540,ees Europe ,,Electrolyzers | H2 production equipment/materials
149,DB Bahnbau Gruppe GmbH ,DB Bahnbau Gruppe GmbH ,Germany,B2.309 ,ees Europe ,,Fuel cells | Lithium-based batteries | Battery recycling/seconduse | Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
150,Denios SE ,Denios SE ,Germany,B2.190 ,ees Europe ,,"Battery testing, inspection systems, safety |Cooling/temperature management of storage systems |Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications"
151,"Dyness Digital Energy Technology Co., LTD","Dyness Digital Energy Technology Co., LTD",China,B2.131 ,ees Europe ,,"Inverters | Lithium-based batteries | Stationary energy storagefor residential buildings | ICT, software for energy storagesystems | Stationary energy storage for commercial andindustrial applications"
152,ECS Falko Jahn e.K. ,ECS Falko Jahn e.K. ,Germany ,B2.477,ees Europe ,,"Lithium-based batteries | Battery Chargers | Power electronicsfor storage systems | Battery management systems | EnergyStorage for low-capacity mobile applications (smartphones,laptops, tablets, etc.)"
153,EDF group ,EDF group ,France,B2.120 ,ees Europe ,,"Lithium-based batteries | Other energy storage technologies |EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators | ICT, software for energy storage systems |Stationary energy storage for commercial and industrialapplications | Financial services, subsidies, insurances |Consulting | Engineering services"
154,Elysia - Battery Intelligence ,Elysia - Battery Intelligence ,United Kingdom ,B2.574,ees Europe ,,Other battery technologies | Battery recycling/second use |Battery management systems
155,enercap ,enercap,United Arab Emirates,B2.240 ,ees Europe ,,Other battery technologies | EV system technology andcomponents
156,Energy3000 solar GmbH ,Energy3000 solar GmbH ,Austria,B2.520 ,ees Europe ,,"Stationary energy storage for commercial and industrialapplications | Hydrogen storage, infrastructure, components"
157,ENERTRAG SE ,ENERTRAG SE ,Germany,B2.619 ,ees Europe ,,"Hydrogen storage, infrastructure, components | Electrolyzers"
158,Epic Power Converters S.L.,Epic Power Converters S.L.,Spain ,B2.355 ,ees Europe ,,"Fuel cells | Lead-based batteries | Other battery technologies |Lithium-based batteries | Other energy storage technologies |Battery recycling/second use | Redox flow batteries | Powerelectronics for storage systems | Battery management systems| EPC contracting/project development for energy storagesystems | Uninterruptible power supply systems (UPS) |Hydrogen storage, infrastructure, components | Electrolyzers |H2 production equipment/materials"
159,"Eway Energy Technology (Wuhan) Co. , LTD ","Eway Energy Technology (Wuhan) Co. , LTD",China,B2.479,ees Europe ,,Lithium-based batteries | Other energy storage technologies
160,Exide Technologies GmbH ,Exide Technologies GmbH,Germany ,B2.320,ees Europe ,,"Lead-based batteries | Other battery technologies | Lithiumbasedbatteries | Power electronics for storage systems |Stationary energy storage for utilities and grid operators |Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Uninterruptible powersupply systems (UPS) | ICT, software for energy storagesystems | Stationary energy storage for commercial andindustrial applications | Energy management, monitoring,controlling and load management"
161,FCL Components Europe B.V. ,FCL Components Europe B.V.,Netherlands,B2.579,ees Europe ,,"Materials and components | Contacts, wiring, insulation forbatteries | EV system technology and components"
162,Fike,Fike,Belgium,B2.373 ,ees Europe ,,Lithium-based batteries | Consulting | Engineering services
163,FirePro Systems Ltd ,FirePro Systems Ltd ,Cyprus ,B2.174 ,ees Europe ,,Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Manufacturing equipment for battery cell production
164,FOGTEC Brandschutz GmbH,FOGTEC Brandschutz GmbH ,Germany,B2.372 ,ees Europe ,,"Battery testing, inspection systems, safety | Research anddevelopment | Engineering services"
165, FREQCON GmbH ,FREQCON GmbH ,Germany,B2.340,ees Europe ,,(Ultra)capacitors | Other battery technologies | Lithium-basedbatteries | Stationary energy storage for utilities and gridoperators | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
166,FrigorTec GmbH,FrigorTec GmbH ,Germany,B2.436,ees Europe ,,"Cooling/temperature management of storage systems |Hydrogen storage, infrastructure, components | Electrolyzers"
167,FRÖTEK-Kunststofftechnik GmbH ,FRÖTEK-Kunststofftechnik GmbH ,Germany,B2.374 ,ees Europe ,,"Battery Materials | Contacts, wiring, insulation for batteries"
168,"Fujian Yanan Power Co., Ltd ","Fujian Yanan Power Co., Ltd ",China,B2.518 ,ees Europe ,,"Fuel cells | Battery management systems | Stationary energystorage for residential buildings | ICT, software for energystorage systems | Stationary energy storage for commercial andindustrial applications"
169,Graphenano Energy,Graphenano Energy,Spain,B2.680 ,ees Europe ,,Other battery technologies | Lithium-based batteries
170,GS Yuasa Battery Germany GmbH,GS Yuasa Battery Germany GmbH ,Germany ,B2.360 ,ees Europe ,,Lead-based batteries | Lithium-based batteries | Uninterruptiblepower supply systems (UPS) | Stationary energy storage forcommercial and industrial applications | Traction battery andinfrastructure
171,"Guangzhou Sanjing Electric Co., Ltd.","Guangzhou Sanjing Electric Co., Ltd.",China ,B2.310 ,ees Europe ,,Inverters | EPC contracting/project development for energystorage systems | Stationary energy storage for utilities and gridoperators | Stationary energy storage for residential buildings |Stationary energy storage for commercial and industrialapplications
172,H&MV Engineering ,H&MV Engineering,Ireland ,B2.532,ees Europe ,,"EPC contracting/project development for solar power plants |Lithium-based batteries | EPC contracting/project developmentfor energy storage systems | Stationary energy storage forutilities and grid operators | Grid infrastructure (e.g.transformers, substations, secondary substations)"
173,Hangzhou Gold Electronic Equipment Inc,Hangzhou Gold Electronic Equipment Inc,China,B2.474 ,ees Europe ,,Battery management systems
174,"Harbin Coslight New Energy Co., Ltd.","Harbin Coslight New Energy Co., Ltd. ",China,B2.273,ees Europe ,,Lithium-based batteries | Automation technology for batteryproduction | Stationary energy storage for residential buildings |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
175,HIS Renewables GmbH,HIS Renewables GmbH,Germany,B2.111 ,ees Europe ,,"Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | AC chargingsystems | Vehicle-to-X, bi-directional charging | Charging cables,connector and cable routing systems, housings and otherhardware | Charging/Load management and monitoring"
176,"Hubei Jiandun Fire Technology Co., Ltd.","Hubei Jiandun Fire Technology Co., Ltd.",China ,B2.277 ,ees Europe ,,"Other energy storage technologies | Battery testing, inspectionsystems, safety"
177,"Hubei Urance Electronics Co., Ltd ","Hubei Urance Electronics Co., Ltd ",China ,B2.490 ,ees Europe ,,Other battery technologies | Battery Materials
178,"Hudson Electric (Wuxi) Co., Ltd.","Hudson Electric (Wuxi) Co., Ltd.",China ,B2.378,ees Europe ,,"Contacts, wiring, insulation for batteries"
179,"Huiyao Laser Technology (Luoyang) Co., Ltd. ","Huiyao Laser Technology (Luoyang) Co., Ltd.",China ,B2.375 ,ees Europe ,,Battery recycling/second use | Manufacturing equipment forbattery module production/assembly and systeminstallation/assembly | Manufacturing equipment for batterycell production | Automation technology for battery production |Stationary energy storage for commercial and industrialapplications
180,INTILION AG ,INTILION AG,Germany,B2.330 ,ees Europe ,,"EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators | Stationary energy storage for commercial andindustrial applications | Grid infrastructure (e.g. transformers,substations, secondary substations)"
181,"Jiangsu HuaDe Hydrogen Energy Technology Co.,Ltd ","Jiangsu HuaDe Hydrogen Energy Technology Co.,Ltd ",China ,B2.630,ees Europe ,,"Fuel cells | Battery management systems | Hydrogen storage,infrastructure, components"
182,JM Europe GmbH,JM Europe GmbH ,Germany,B2.278 ,ees Europe ,,"Energy Storage for low-capacity mobile applications(smartphones, laptops, tablets, etc.) | Stationary energy storagefor residential buildings"
183,KERAFOL Keramische Folien GmbH & Co. KG,KERAFOL Keramische Folien GmbH & Co. KG,Germany,B2.370,ees Europe ,,"Cooling/temperature management of storage systems | Batterymanagement systems | Battery Materials | H2 productionequipment/materials | Contacts, wiring, insulation for batteries"
184,Kyon Energy Solutions GmbH ,Kyon Energy Solutions GmbH ,Germany,B2.254 ,ees Europe ,,Lithium-based batteries
185,Landesentwicklungsgesellschaft Thüringen GmbH,Landesentwicklungsgesellschaft Thüringen GmbH,Germany,B2.260,ees Europe ,,Other battery technologies
186,LION Smart GmbH ,LION Smart GmbH ,Germany,B2.180 ,ees Europe ,,Lithium-based batteries | Battery management systems |Uninterruptible power supply systems (UPS) | Traction batteryand infrastructure
187,LogBATT GmbH ,LogBATT GmbH ,Germany,B2.280,ees Europe ,,Lithium-based batteries | Battery management systems |Consulting | Fleet management solutions
188,MaxxContact GmbH ,MaxxContact GmbH,Germany,B2.571 ,ees Europe ,,Other energy storage technologies
189,Mianyang Hitek ,Mianyang Hitek ,China,B2.376 ,ees Europe ,,"Contacts, wiring, insulation for batteries"
190,"Minno Cooling Technology (Hainan) Co.,Ltd ","Minno Cooling Technology (Hainan) Co.,Ltd ",China,B2.382 ,ees Europe ,,Cooling/temperature management of storage systems
191,Monbat AD,Monbat AD ,Bulgaria,B2.458,ees Europe ,,Lead-based batteries | Lithium-based batteries | Stationaryenergy storage for utilities and grid operators | Stationaryenergy storage for residential buildings | Stationary energystorage for commercial and industrial applications
192,MSR-Electronic GmbH ,MSR-Electronic GmbH ,Germany,B2.530,ees Europe ,,"Hydrogen storage, infrastructure, components | H2 productionequipment/materials | Gas safety, monitoring, testing"
193,Nidec Conversion ,Nidec Conversion,Italy,B2.230,ees Europe ,,"Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | High power charger, megawatt charging systems |DC charging systems"
194,Parker Lord ,Parker Lord ,United States,B2.276 ,ees Europe ,,"Fuel cells | Other battery technologies | Lithium -based batteries |Other energy storage technologies | Battery Chargers |Cooling/ temperature m anagem ent of storage system s | Powerelectronics for storage system s | Battery m anagem ent system s| Manufacturing equipm ent for battery moduleproduction/assembly and system installation/assembly |Manufacturing equipm ent for battery cell production | Stationaryenergy storage for utilities and grid operators | Energy Storagefor low-capacity mobile applications (sm artphones, laptops,tablets, etc.) | Stationary energy storage for residential buildings| Stationary energy storage for comm ercial and industrialapplications | Hydrogen storage, infrastructure, components |Electrolyzers | H2 production equipm ent/m aterials | Contacts,wiring, insulation for batteries | Battery housing"
195,Pfannenberg Europe GmbH,Pfannenberg Europe GmbH,Germany,B2.440 ,ees Europe ,,"Cooling/temperature management of storage systems |Stationary energy storage for commercial and industrialapplications | Products and services for smart grids | Hydrogenstorage, infrastructure, components"
196,PR Industrial Srl unipersonale,PR Industrial Srl unipersonale,Italy,B2.259 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
197,Prolux Solutions · c/o Kermi GmbH,Prolux Solutions · c/o Kermi GmbH,Germany ,B2.334 ,ees Europe ,,Redox flow batteries | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
198,Quest One GmbH,Quest One GmbH ,Germany ,B2.537 ,ees Europe ,,Electrolyzers
199,REMBE® GmbH Safety + Control ,REMBE® GmbH Safety + Control ,Germany ,B2.677,ees Europe ,,"Lithium-based batteries | Battery testing, inspection systems,safety | Test institutes | Gas safety, monitoring, testing | Testingand safety"
200,Reverion GmbH ,Reverion GmbH ,Germany ,B2.450A ,ees Europe ,,Fuel cells | Other battery technologies | Stationary energystorage for utilities and grid operators | Stationary energystorage for commercial and industrial applications |Electrolyzers
201,Rolls-Royce Solutions GmbH ,Rolls-Royce Solutions GmbH ,Germany ,B2.410 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Uninterruptible power supply systems (UPS)| Stationary energy storage for commercial and industrialapplications | H2 production equipment/materials
202,Rotovia Deventer B.V.,Rotovia Deventer B.V.,Netherlands ,B2.290 ,ees Europe ,,"Redox flow batteries | Hydrogen storage, infrastructure,components | Battery housing"
203,S.C. Prime Batteries Technology S.R.L.,S.C. Prime Batteries Technology S.R.L.,Romania,B2.250 ,ees Europe ,,Lithium-based batteries
204,Saft ,Saft,France,B2.220 ,ees Europe ,,Lithium-based batteries | Battery management systems
205,"Sanhe Tongfei Refrigeration Co., Ltd.","Sanhe Tongfei Refrigeration Co., Ltd.",China ,B2.179 ,ees Europe ,,Cooling/temperature management of storage systems
206,SAX Power GmbH ,SAX Power GmbH,Germany ,B2.140,ees Europe ,,"Stand-alone systems, off-grid systems | Inverters | Lithiumbasedbatteries"
207,Schaltbau GmbH,Schaltbau GmbH,Germany ,B2.476 ,ees Europe ,,"Battery testing, inspection systems, safety | Batterymanagement systems | Contacts, wiring, insulation for batteries"
208,"Shandong Goldencell Electronics TechnologyCo.,Ltd ","Shandong Goldencell Electronics TechnologyCo.,Ltd",China ,B2.253 ,ees Europe ,,Fuel cells | Lithium-based batteries
209,"Shandong Xinheyuan Heat TransferringTechnology Co., Ltd.","Shandong Xinheyuan Heat TransferringTechnology Co., Ltd.",China ,B2.471 ,ees Europe ,,Battery housing
210,"Shanghai Sepna Chemical Technology Co., LTD ","Shanghai Sepna Chemical Technology Co., LTD ",China ,B2.573 ,ees Europe ,,"Other energy storage technologies | Cooling/temperaturemanagement of storage systems | Manufacturing equipment forbattery module production/assembly and systeminstallation/assembly | Contacts, wiring, insulation for batteries"
211,"Shenzhen Baiqiancheng Electronic Co., Ltd.","Shenzhen Baiqiancheng Electronic Co., Ltd.",China ,B2.384 ,ees Europe ,,Battery management systems
212,"Shenzhen EENOVANCE Energy Technology Co.,Ltd.","Shenzhen EENOVANCE Energy Technology Co.,Ltd.",China ,B2.455 ,ees Europe ,,Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
213,SIBA GmbH ,SIBA GmbH ,Germany ,B2.271,ees Europe ,,"Materials and components | Battery testing, inspection systems,safety | High power charger, megawatt charging systems | ACcharging systems | Hydrogen storage, infrastructure,components | DC charging systems"
214,"Sichuan Kepai New Material Co., Ltd ","Sichuan Kepai New Material Co., Ltd ",China ,B2.274,ees Europe ,,"Contacts, wiring, insulation for batteries"
215,SMARTENERGY Group AG ,SMARTENERGY Group AG ,Switzerland ,B2.510,ees Europe ,,"Free-standing PV installations | EPC contracting/projectdevelopment for solar power plants | Agri PV | Hydrogenstorage, infrastructure, components"
216,SOCOMEC,SOCOMEC ,France ,B2.130,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications
217,Southco Manufacturing Limited ,Southco Manufacturing Limited ,United Kingdom ,B2.570,ees Europe ,,Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications | ACcharging systems | Electric passenger cars | DC chargingsystems
218,STABL Energy GmbH ,STABL Energy GmbH ,Italy ,B2.350 ,ees Europe ,,Lithium-based batteries | Other energy storage technologies |Battery recycling/second use
219,STIF France,STIF France,France ,B2.170 ,ees Europe ,,"Battery testing, inspection systems, safety"
220,STROPOWER,STROPOWER ,China ,B2.377 ,ees Europe ,,"Battery testing, inspection systems, safety"
221,Sun.King Technology Group Limited,Sun.King Technology Group Limited,China ,B2.675,ees Europe ,,Power electronics for storage systems
222,"Suzhou Walter Electronic Co., Ltd ","Suzhou Walter Electronic Co., Ltd ",China ,B2.590 ,ees Europe ,,Power electronics for storage systems
223,Switchlab Inc,Switchlab Inc.,Taiwan,B2.690 ,ees Europe ,,"PV components (cables, connectors, junction boxes, etc.) |Other battery technologies | Power electronics for storagesystems"
224,Symbase S.A. ,Symbase S.A.,Poland ,B2.632 ,ees Europe ,,"Fuel cells | Hydrogen storage, infrastructure, components"
225,TechRad (Zhejiang) Automotive Thermal SystemCorp.,TechRad (Zhejiang) Automotive Thermal SystemCorp. ,China ,B2.475,ees Europe ,,Air conditioning and cooling | Cooling/temperaturemanagement of storage systems
226,tesa SE,tesa SE,Germany,B2.379 ,ees Europe ,,"Thin-film modules | Solar cells | Manufacturing machinery andequipment | Other battery technologies | Other energy storagetechnologies | Contacts, wiring, insulation for batteries | EVsystem technology and components"
227,Tesvolt AG,Tesvolt AG,Germany,B2.110 ,ees Europe ,,Lithium-based batteries | EPC contracting/project developmentfor energy storage systems | Stationary energy storage forutilities and grid operators | Uninterruptible power supplysystems (UPS) | Stationary energy storage for commercial andindustrial applications
228,TWAICE Battery Analytics Software ,TWAICE Battery Analytics Software ,Germany,B2.480,ees Europe ,,Lithium-based batteries | Battery recycling/second use |Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Testing and safety
229,Voltfang GmbH ,Voltfang GmbH ,Germany,B2.109 ,ees Europe ,,Battery recycling/second use | Battery management systems |EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators | Stationary energy storage for commercial andindustrial applications
230,volytica diagnostics GmbH ,volytica diagnostics GmbH ,Germany,B2.470 ,ees Europe ,,"Lithium-based batteries | Battery testing, inspection systems,safety | ICT, software for energy storage systems | Electrolyzers| Testing and safety | EV system technology and components"
231,VOSS Automotive GmbH ,VOSS Automotive GmbH,Germany,B2.580 ,ees Europe ,,"Cooling/temperature management of storage systems |Hydrogen storage, infrastructure, components"
232,"Wattius Battery Solutions, S.L.","Wattius Battery Solutions, S.L. ",Spain,B2.679 ,ees Europe ,,"Battery testing, inspection systems, safety | Battery Chargers |Battery management systems | ICT, embedded systems andsoftware | EV system technology and components"
233,Wetrax GmbH ,Wetrax GmbH ,Germany,B2.174 ,ees Europe ,,Other energy storage technologies
234,Wirtschaftsförderung Sachsen GmbH ,Wirtschaftsförderung Sachsen GmbH ,Germany,B2.150 ,ees Europe ,,Consulting | State initiatives and public authorities |Associations/societies
235,Xiamen Tmax Battery Equipments Limited,Xiamen Tmax Battery Equipments Limited ,China ,B2.473 ,ees Europe ,,"Battery testing, inspection systems, safety | Manufacturingequipment for battery module production/assembly and systeminstallation/assembly | Manufacturing equipment for batterycell production | Automation technology for battery production |Battery Materials"
236,"YIFI Laser Co., Ltd. ","YIFI Laser Co., Ltd.",China ,B2.171 ,ees Europe ,,Manufacturing equipment for battery moduleproduction/assembly and system installation/assembly |Manufacturing equipment for battery cell production |Automation technology for battery production
237,"Yimanfeng Science & Technology Co., Ltd. ","Yimanfeng Science & Technology Co., Ltd. ",China ,B2.380 ,ees Europe ,,Battery Materials
238,Zeppelin Power Systems GmbH,Zeppelin Power Systems GmbH,China ,B2.154 ,ees Europe ,,"Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for commercialand industrial applications | High power charger, megawattcharging systems | Energy management, monitoring, controllingand load management | Other H2 based mobility | Digitalisation,data management & analytics, IoT"
239,"Zhejiang BSB Electrical Appliance Co.,Ltd. ","Zhejiang BSB Electrical Appliance Co.,Ltd",China ,B2.178 ,ees Europe ,,"Battery Chargers | Battery management systems | Powerelectronics, protection systems | Contacts, wiring, insulation forbatteries | EV system technology and components"
240,"ZHONGTIAN ENERGY STORAGE TECHNOLOGYCO.,LTD","ZHONGTIAN ENERGY STORAGE TECHNOLOGYCO.,LTD ",China ,B2.430 ,ees Europe ,,Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications |Electrolyzers | H2 production equipment/materials
241,"Dunext Technology Suzhou Co., Ltd.","Dunext Technology Suzhou Co., Ltd. ",China ,B3.175,ees Europe ,,Inverters | Battery management systems | Stationary energystorage for residential buildings | Stationary energy storage forcommercial and industrial applications | AC charging systems
242,Delta Electronics (Netherlands) B.V.,Delta Electronics (Netherlands) B.V. ,Netherlands ,B3.350 ,ees Europe ,,"Inverters | Power electronics for storage systems | High powercharger, megawatt charging systems | Energy management,monitoring, controlling and load management"
243,Beck Automation GmbH ,Beck Automation GmbH ,Germany,B0.131 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilities and grid operators | Stationary energy storage for commercial and industrial applications
244,BeePlanet Factory S.L. ,BeePlanet Factory S.L. ,Spain,B0.250 ,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications
245,"Buima Energy Co., Ltd.","Buima Energy Co., Ltd. ",Taiwan,B0.326 ,ees Europe ,,Other energy storage technologies | Stationary energy storagefor commercial and industrial applications | DC chargingsystems
246,CellCube Energy Storage GmbH ,CellCube Energy Storage GmbH ,Spain ,B0.116 ,ees Europe ,,Redox flow batteries | Stationary energy storage for utilities and grid operators | Uninterruptible power supply systems (UPS) | Stationary energy storage for commercial and industrial applications
247,Cellect Energy ,Cellect Energy,Spain ,B0.146 ,ees Europe ,,"Stationary energy storage for utilities and grid operators | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | Electricity tradingand marketing tools (power supply, distribution via direct andflexibility markets) | Products and services for microgrids |Virtual power plants/combined power plants | Products andservices for smart grids | Flexibility management (loadmanagement/demand response) | Carbon Footprint calculation,reduction and offsetting | Digitalisation, data management &analytics, IoT"
248,Circunomics GmbH,Circunomics GmbH,Germany ,B0.155 ,ees Europe ,,Lithium-based batteries | Battery recycling/second use |Stationary energy storage for utilities and grid operators |Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
249,DHYBRID Power Systems GmbH ,DHYBRID Power Systems GmbH ,Germany ,B0.141,ees Europe ,,Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for utilities and grid operators |Uninterruptible power supply systems (UPS) | Stationary energystorage for commercial and industrial applications
250,e.battery systems AG,e.battery systems AG,Austria ,B0.140,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
251,EDAG Engineering GmbH ,EDAG Engineering GmbH,Germany ,B0.236 ,ees Europe ,,Battery recycling/second use | Manufacturing equipment forbattery module production/assembly and systeminstallation/assembly | Manufacturing equipment for batterycell production | Automation technology for battery production |Stationary energy storage for utilities and grid operators |Stationary energy storage for commercial and industrialapplications | Traction battery and infrastructure | Hydrogenstations and infrastructure | Electric passenger cars |Commercial & special electric vehicles | Test institutes |Engineering services | Testing and safety | Fuel cell electricvehicle (FCEV) or hydrogen based fuel vehicles
252,Elpower Srl ,Elpower Srl ,Italy ,B0.107 ,ees Europe ,,Other energy storage technologies | Power electronics for storage systems
253,emost AG,emost AG ,Switzerland ,B0.159,ees Europe ,,Lithium-based batteries | Battery Chargers | Uninterruptiblepower supply systems (UPS) | Stationary energy storage forcommercial and industrial applications
254,Enerpoly AB ,Enerpoly AB ,Sweden ,B0.121,ees Europe ,," Fuel cells | Redox flow batteries | Stationary energy storage for utilities and grid operators | Stationary energy storage for commercial and industrial applications | Hydrogen storage, infrastructure, components | Electrolyzers"
255,Flexoo GmbH,Flexoo GmbH,Germany ,B0.135 ,ees Europe ,,"Battery testing, inspection systems, safety | Power electronicsfor storage systems | Battery management systems | ICT,software for energy storage systems | Research anddevelopment"
