No. ,Exhibitor Name (KOR),Exhibitor Name (ENG),Country ,Hall,Show Name ,Exhibit Item (KOR),Exhibit Item (ENG)
105,BOS Balance of Storage Systems AG ,BOS Balance of Storage Systems AG ,Germany ,B1.436 ,ees Europe ,,Other battery technologies | Lithium-based batteries | Powerelectronics for storage systems | Uninterruptible power supplysystems (UPS) | Stationary energy storage for commercial andindustrial applications
106,BST Power (Shenzhen) Limited ,BST Power (Shenzhen) Limited ,China ,B1.510,ees Europe ,,Lithium-based batteries | Other energy storage technologies |Battery management systems
107,BYD Energy Storage ,BYD Energy Storage,China ,"B1.130, B1.131",ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications | Electric passenger cars
108,Cegasa Energía S.L.U.,Cegasa Energía S.L.U.,Spain ,B1.409 ,ees Europe ,,"Stand-alone systems, off-grid systems | Inverters | Lithiumbasedbatteries | Stationary energy storage for commercial andindustrial applications | Energy management, monitoring,controlling and load management"
109,"Chengdu Tecloman Energy Storage TechnologyCo., Ltd","Chengdu Tecloman Energy Storage TechnologyCo., Ltd ",China ,B1.470,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | Stationary energy storage for commercialand industrial applications
110,"CIEC Haihua International Exhibition Co., Ltd ","CIEC Haihua International Exhibition Co., Ltd",China ,B1.370 ,ees Europe ,,"Battery testing, inspection systems, safety | Manufacturingequipment for battery module production/assembly and systeminstallation/assembly | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Stationary energy storage for commercial andindustrial applications"
111,"Contemporary Amperex Technology Co.,Ltd.","Contemporary Amperex Technology Co.,Ltd.",China ,B1.330,ees Europe ,,Lithium-based batteries | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) |Stationary energy storage for commercial and industrialapplications
112,E3DC - by HagerEnergy GmbH,E3DC - by HagerEnergy GmbH ,Germany,B1.240,ees Europe ,,"Lithium-based batteries | Power electronics for storage systems| Stationary energy storage for residential buildings | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications"
113,ECO STOR GmbH,ECO STOR GmbH ,Germany,B1.490,ees Europe ,,EPC contracting/project development for energy storagesystems | Stationary energy storage for utilities and gridoperators
114,Ecoflow Europe s.r.o ,Ecoflow Europe s.r.o ,Czech Republic ,B1.170,ees Europe ,,Lithium-based batteries | Stationary energy storage forresidential buildings | AC charging systems | DC chargingsystems
115,EET - Efficient Energy Technology GmbH ,EET - Efficient Energy Technology GmbH,Austria ,B1.115,ees Europe ,,PV systems for residential buildings | Power electronics forstorage systems | Stationary energy storage for residentialbuildings
116,ESS Inc.,ESS Inc.,United States,B1.180,ees Europe ,,Other battery technologies | Stationary energy storage forutilities and grid operators | Stationary energy storage forcommercial and industrial applications
117,"EVE Energy Storage Co., Ltd ","EVE Energy Storage Co., Ltd ",China ,B1.431,ees Europe ,,Lithium-based batteries | Power electronics for storage systems| Battery management systems | Stationary energy storage forutilities and grid operators | Stationary energy storage forcommercial and industrial applications
118,Fenecon GmbH ,Fenecon GmbH ,Germany ,B1.410 ,ees Europe ,,"Lithium-based batteries | Battery recycling/second use | Batterymanagement systems | Stationary energy storage for utilitiesand grid operators | Stationary energy storage for residentialbuildings | Uninterruptible power supply systems (UPS) | ICT,software for energy storage systems | Stationary energy storagefor commercial and industrial applications | Energymanagement, monitoring, controlling and load management"
119,Fox ESS ,Fox ESS,China,B1.270 ,ees Europe ,,Inverters | Lithium-based batteries | Stationary energy storagefor residential buildings
120,GS HUB GmbH,GS HUB GmbH ,Germany ,B1.590 ,ees Europe ,,"Inverters | Lithium-based batteries | Battery managementsystems | Energy management, monitoring, controlling and loadmanagement | Smart energy management systems forbuildings and districts"
121,"Hefei Huasi Systems Co., Ltd.","Hefei Huasi Systems Co., Ltd.",China ,B1.290,ees Europe ,,Cooling/temperature management of storage systems | Powerelectronics for storage systems | Battery management systems| Stationary energy storage for residential buildings | Stationaryenergy storage for commercial and industrial applications
122,Indrivetec AG,Indrivetec AG ,Switzerland,B1.111 ,ees Europe ,,Power electronics for storage systems | Stationary energystorage for utilities and grid operators | Uninterruptible powersupply systems (UPS) | Stationary energy storage forcommercial and industrial applications
123,RTC Power GmbH ,RTC Power GmbH,Germany,B1.230,ees Europe ,,Inverters | Lithium-based batteries | Stationary energy storage for residential buildings | Stationary energy storage for commercial and industrial applications | Uninterruptible power supply systems (UPS)
124,SENEC GmbH,SENEC GmbH ,Germany,B1.310 ,ees Europe ,,Crystalline modules | Lithium-based batteries | Stationary energy storage for residential buildings | Battery management systems | AC charging systems
